hum_blatant,attention,attention_num,ft_in,ft_out,ft_diff,hum_blatant_in,hum_blatant_out,hum_subtle_in,hum_subtle_out,hum_subtle,authscale,party_strength,close,close_recode,Age,pid7,Gender,race,party_binary,scandal,scandal_out,pid,Republican
NA,Hardly at all,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,42,4,Female,White,NA,4.8,NA,Other,0
68,Most of the time,4,82,1,81,91,23,5.5,2.25,3.25,0.5,3,3,2,56,1,Female,White,Democrat,3.4,1,Democrat,0
0,Only now and then,2,4,2,2,0,0,1,1,0,0,2,2,1,22,2,Female,White,Democrat,4,1,Democrat,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,27,4,Female,Other,NA,1.8,NA,Independent,0
73,Only now and then,2,100,3,97,94,21,4.25,2,2.25,0.75,3,3,2,27,1,Female,Black,Democrat,5,1,Democrat,0
0,Only now and then,2,57,16,41,50,50,4,4,0,0.5,1,3,2,28,3,Female,White,Democrat,3.6,-1,Independent,0
2,Most of the time,4,9,0,9,2,0,1,1,0,0.25,3,2,1,54,7,Male,White,Republican,3.6,1,Republican,1
76,Some of the time,3,94,18,76,89,13,6.25,5.25,1,0.75,3,4,3,56,1,Female,White,Democrat,2.8,1,Democrat,0
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,26,4,Male,White,NA,NA,NA,Other,0
91,Most of the time,4,100,8,92,100,9,4,3.75,0.25,0.5,3,4,3,54,1,Male,White,Democrat,NA,NA,Democrat,0
0,Some of the time,3,62,60,2,52,52,5.5,4.5,1,0.75,2,2,1,21,6,Female,Other,Republican,2.8,-1,Republican,1
-16,Some of the time,3,65,77,-12,63,79,5.75,5.75,0,0.25,3,3,2,21,7,Female,Asian,Republican,3.8,-1,Republican,1
11,Some of the time,3,82,94,-12,100,89,6.75,6.75,0,0.75,3,3,2,38,7,Female,White,Republican,3.6,-1,Republican,1
0,Only now and then,2,60,26,34,100,100,5.25,4.5,0.75,1,2,2,1,31,6,Female,White,Republican,3.8,1,Republican,1
100,Only now and then,2,100,NA,NA,100,0,4,1,3,1,3,3,2,38,1,Male,White,Democrat,NA,NA,Democrat,0
26,Most of the time,4,100,71,29,89,63,4.75,4.25,0.5,0.5,3,4,3,21,7,Female,White,Republican,NA,NA,Republican,1
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,19,4,Male,White,NA,4,NA,Independent,0
-13,Most of the time,4,91,79,12,79,92,6.25,6.5,-0.25,0.5,3,4,3,27,1,Male,White,Democrat,3.6,-1,Democrat,0
84,Some of the time,3,100,17,83,98,14,3.25,3.5,-0.25,NA,2,3,2,50,6,Female,White,Republican,4,1,Republican,1
0,Some of the time,3,74,10,64,100,100,7,7,0,0.25,3,3,2,37,1,Female,White,Democrat,4,1,Democrat,0
0,Most of the time,4,35,20,15,80,80,6,6,0,0,1,2,1,64,3,Female,White,Democrat,3,-1,Independent,0
0,Most of the time,4,24,20,4,100,100,4.25,4.25,0,0.5,3,3,2,40,7,Male,White,Republican,NA,NA,Republican,1
86,Most of the time,4,100,14,86,100,14,7,2,5,0.5,3,4,3,31,1,Male,White,Democrat,3.4,-1,Democrat,0
32,Most of the time,4,81,28,53,99,67,3,4.25,-1.25,0.75,3,3,2,21,7,Male,White,Republican,NA,NA,Republican,1
0,Most of the time,4,30,30,0,80,80,3.5,3.5,0,0,2,2,1,61,6,Female,White,Republican,3.6,-1,Republican,1
15,Most of the time,4,72,8,64,48,33,4.5,1.25,3.25,0.25,2,3,2,65,6,Female,White,Republican,4.4,-1,Republican,1
95,Most of the time,4,100,5,95,100,5,6.75,6.5,0.25,0.5,3,3,2,26,7,Male,White,Republican,3.4,1,Republican,1
100,Some of the time,3,72,0,72,100,0,4,2.5,1.5,1,3,3,2,35,7,Male,Asian,Republican,4,-1,Republican,1
46,Most of the time,4,68,36,32,100,54,4.25,4.5,-0.25,0.5,1,3,2,18,5,Male,Other,Republican,3.2,1,Independent,1
100,Hardly at all,1,81,93,-12,100,0,6,6.25,-0.25,0.5,3,4,3,33,7,Male,White,Republican,3,1,Republican,1
49,Some of the time,3,100,12,88,85,36,4.75,4.5,0.25,NA,3,4,3,56,1,Female,Black,Democrat,4.2,-1,Democrat,0
9,Most of the time,4,18,8,10,18,9,6.25,2.5,3.75,0.25,1,2,1,58,5,Female,White,Republican,NA,NA,Independent,1
78,Most of the time,4,33,33,0,100,22,1.75,4.5,-2.75,0.75,1,3,2,23,3,Female,Other,Democrat,4.6,-1,Independent,0
33,Some of the time,3,47,52,-5,62,29,5,5,0,0.5,3,3,2,19,7,Male,Black,Republican,4,-1,Republican,1
37,Most of the time,4,84,19,65,88,51,5,3.75,1.25,0,3,4,3,38,1,Female,White,Democrat,3.2,-1,Democrat,0
44,Most of the time,4,67,33,34,71,27,6,2.75,3.25,1,2,3,2,34,2,Male,Asian,Democrat,5.2,1,Democrat,0
15,Hardly at all,1,78,71,7,84,69,4.5,4,0.5,0.5,2,3,2,34,2,Female,White,Democrat,4.4,1,Democrat,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,50,4,Male,White,NA,NA,NA,Independent,0
0,Most of the time,4,67,62,5,64,64,5.25,5.5,-0.25,0.5,3,4,3,30,1,Male,White,Democrat,NA,NA,Democrat,0
99,Most of the time,4,100,0,100,100,1,4,4,0,1,3,4,3,57,7,Female,White,Republican,NA,NA,Republican,1
63,Some of the time,3,92,3,89,100,37,4.25,2.5,1.75,1,2,3,2,35,6,Female,White,Republican,NA,NA,Republican,1
94,Most of the time,4,88,0,88,94,0,5.25,5.25,0,0.5,3,2,1,25,1,Male,White,Democrat,3.8,-1,Democrat,0
27,Most of the time,4,52,14,38,86,59,5,4.75,0.25,0.75,3,2,1,27,1,Female,Black,Democrat,3.4,1,Democrat,0
62,Some of the time,3,61,0,61,62,0,3.75,3.75,0,0,3,4,3,36,1,Male,White,Democrat,NA,NA,Democrat,0
47,Some of the time,3,81,10,71,80,33,3.5,4.25,-0.75,0,2,3,2,31,2,Female,White,Democrat,2.6,1,Democrat,0
42,Some of the time,3,85,27,58,81,39,3.5,2.75,0.75,1,3,3,2,18,7,Male,White,Republican,3.8,-1,Republican,1
4,Most of the time,4,64,82,-18,91,87,4.25,4.75,-0.5,0.5,1,3,2,22,3,Male,White,Democrat,3.8,-1,Independent,0
68,Most of the time,4,76,3,73,70,2,2.5,4,-1.5,1,3,3,2,51,7,Female,White,Republican,4,-1,Republican,1
7,Most of the time,4,100,80,20,97,90,6,6,0,NA,3,3,2,27,1,Male,White,Democrat,3.4,1,Democrat,0
33,Some of the time,3,77,67,10,85,52,4.75,4.25,0.5,0.5,1,3,2,24,5,Female,White,Republican,2.6,1,Independent,1
-1,Some of the time,3,13,10,3,48,49,3.5,2.5,1,0.5,2,3,2,38,2,Female,White,Democrat,3.6,-1,Democrat,0
50,Most of the time,4,99,NA,NA,98,48,4.5,2,2.5,0.25,2,2,1,60,6,Female,White,Republican,4,-1,Republican,1
5,Most of the time,4,61,9,52,95,90,4.5,5,-0.5,0.75,2,2,1,57,2,Male,White,Democrat,2.8,-1,Democrat,0
10,Only now and then,2,60,50,10,93,83,3.5,3,0.5,0.25,2,2,1,50,2,Male,White,Democrat,NA,NA,Democrat,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,48,4,Male,White,NA,5.2,NA,Independent,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,64,4,Male,White,NA,2.2,NA,Independent,0
0,Most of the time,4,100,100,0,100,100,7,7,0,0.5,3,4,3,24,7,Male,White,Republican,3.8,-1,Republican,1
